read_code	icd10_code
A831.	A790
A832.	A791
A83y.	A798
A83z.	A799
A84..	B54X
A840.	B509
A8400	B500
A841.	B519
A8410	B510
A841X	B519
A842.	B529
A843.	B530
A844.	B538
A8440	B531
A8441	B520
A845.	B538
A846.	B54X
A847.	B54X
A848.	B508
A849.	B54X
A8490	B509
A8491	B500D G948A
A849z	B54X
A84W.	B529
A84X.	B509
A85..	B559
A850.	B550
A851.	B551
A8510	B551
A8511	B551
A8512	B551
A851z	B551
A852.	B551
A853.	B551
A854.	B551
A855.	B552
A85z.	B559
A86..	B56-B57
A860.	B572D I981A
A8600	B570D I412A
A861.	B575
A8610	B573D
A8611	B574D G998A
A862.	B571
A863.	B560
A864.	B561
A865.	B569
A86z.	B569
A87..	A680-A689
A870.	A680
A871.	A681
A8710	A692
A8711	A692
A8712	A692D I520A
A8713	A692
A871z	A681
A87z.	A689
A880.	A449
A8800	A440
A8801	A441
A8y..	A75-A79
A8z..	A75-A79
A9...	A50-A64X
A90..	A500-A509
A900.	A500
A901.	A501
A902.	A502
A903.	A503D H192A
A904.	A504
A9040	A504
A9041	A504D G050A
A9042	A504D G01XA
A904z	A504
A905.	A507
A9050	A505
A9051	A505
A9052	A505
A9053	A503D
A905z	A507
A906.	A506
A907.	A507
A90z.	A509
A91..	A519
A910.	A510
A911.	A511
A912.	A512
A9120	A512
A9121	A512
A9122	A512
A9123	A512
A912z	A512
A913.	A513
A9130	A513
A9131	A513
A9132	A513
A9133	A513
A9134	A513
A9135	A513
A913z	A513
A914.	A514
A915.	A514D
A9150	A514D
A9151	A514D
A9152	A514D
A915z	A514D
A916.	A514
A9160	A514D M901A
A9161	A514D K770A
A916z	A514
A917.	A514
A918.	A514
A9180	A514D G01XA
A9181	A513D L998A
A918z	A514
A919.	A514
A91X.	A519
A92..	A515
A920.	A515
A92z.	A515
A93..	A520D
A930.	A520D I790A
A931.	A520D I791A
A932.	A520D I398A
A9320	A520D I398A
A9321	A520D
A9322	A520D I391A
A9323	A520D
A9324	A520D I393A
A932z	A520D I398A
A93y.	A520D
A93y0	A520D I320A
A93y1	A520D I410A
A93yz	A520D
A93z.	A520D
A94..	A521-A523
